0.5	-6.35
0.6	-6.36
0.7	-6.36
0.8	-6.36
0.9	-6.36
1	-6.36
1.1	-6.36
1.2	-6.36
1.3	-6.36
1.4	-6.36
1.5	-6.36
1.6	-6.36
1.7	-6.36
1.8	-6.36
1.9	-6.36
2	-6.36
2.1	-6.36
2.2	-6.36
2.3	-6.36
2.4	-6.36
2.5	-6.36
2.6	-6.36
2.7	-6.36
2.8	-6.35
2.9	-6.35
3	-6.35
3.1	-6.35
3.2	-6.35
3.3	-6.35
3.4	-6.34
3.5	-6.34
3.6	-6.34
3.7	-6.34
3.8	-6.34
3.9	-6.34
4	-6.34
4.1	-6.34
4.2	-6.34
4.3	-6.33
4.4	-6.33
4.5	-6.33
4.6	-6.33
4.7	-6.33
4.8	-6.33
4.9	-6.33
5	-6.33
5.1	-6.33
5.2	-6.33
5.3	-6.33
5.4	-6.33
5.5	-6.33
5.6	-6.33
5.7	-6.33
5.8	-6.33
5.9	-6.33
6	-6.33
6.1	-6.33
6.2	-6.33
6.3	-6.33
6.4	-6.33
6.5	-6.33
6.6	-6.34
6.7	-6.34
6.8	-6.35
6.9	-6.35
7	-6.35
7.1	-6.36
7.2	-6.36
7.3	-6.37
7.4	-6.37
7.5	-6.38
7.6	-6.38
7.7	-6.39
7.8	-6.39
7.9	-6.39
8	-6.4
8.1	-6.4
8.2	-6.4
8.3	-6.41
8.4	-6.41
8.5	-6.42
8.6	-6.42
8.7	-6.43
8.8	-6.43
8.9	-6.44
9	-6.45
9.1	-6.45
9.2	-6.46
9.3	-6.47
9.4	-6.48
9.5	-6.49
9.6	-6.49
9.7	-6.5
9.8	-6.51
9.9	-6.52
10	-6.53
10.1	-6.54
10.2	-6.55
10.3	-6.56
10.4	-6.57
10.5	-6.57
